Sumber Sheet,Tanggal Gabungan,Month,Product,Kategori,Hari,Bulan,Tahun,Batch,Umur,Domisili,Kota,Kota(Jabodetabek),Provinsi,Negara,Background pendidikan,Asal Sekolah,Level pendidikan,Jurusan pendidikan,Jurusan,Jurusan S2 (jika ada),Kesibukan sekarang apa,Kategori Kesibukan,Level Pekerjaan,Kategori Pekerjaan,Waktu terakhir bekerja (kalau lagi nggak kerja/intern),Kegiatan yang dilakukan waktu luang/Hobi,Alasan mengambil kategori Bootcamp,Motivasi mengikuti bootcamp,Dengar Dibimbing darimana,Channel,Mengapa memilih Dibimbing,Pernah/Tidak memiliki pengalaman di bidang yang diambil,Apakah memiliki skill bahasa inggris,Penyaluran Kerja,Blog dibimbing,Community,Pernah ikut acara dibimbing/tidak,Catatan,Pengembalian Kontrak
EP,15/Agu/2024,Agu 2024,English,CAJC,15,Ags,2024,1,28,Tasikmalaya, Tasikmalaya, Tasikmalaya,Jawa Barat,Indonesia,S1 (Universitas Islam Bandung) S2 (Universitas Katolik Parahyangan),Universitas Islam Bandung,High,Ekonomi,Ekonomi,Management,Bekerja di Universitas Swasta di Tasikmalaya sebagai ghrapic design,Pekerja,Middle,Karyawan Swasta,-,Membaca dan main golf,,"Pertama ingin apply ke luar negeri dan kemarin sempet nyari-nyari juga kalau untuk bassic english aman tapi kalau untuk profesionalnya nyari long term banyak yang harus dipelajari sedangkan dia untuk nanti kerja dan acuannya 2 tahun lalu dapat offering perusahaan Germany dan dia ngga buka jadi itungannya exp terus sekarang kayanya pengen mulai lagi dan ingin berkarier di luar negeri, sehingga tujuan utamanya untuk menunjang career dan pekerjaannya",Alumni,Refferal,Sistem pembelajaran dan mentor (karena pertama kalau Dibimbing sudah tahu skema pendidikannya dan sudah pernah ikut bootcamp digital marketing batch 9 dan dia lebih nyaman dengan mentornya yang sering sharing dan konsultasi jika ada kendala dan beberapa kali tek tok an dengan mentor Dibimbing dan itu okeee bgt dan untuk pribadi karena memang kebutuhannya ada untuk saat ini dan program ini sesuai kebutuhannya di bidang english for professional jadi sudah merasa nyaman dan aman ikut bootcamp di Dibimbing),"Pernah mengikuti pelatihan english di Kampung Inggris selama 3-4 bulan, sehingga sudah memiliki bayangan dan akan diperdalam melalui bootcamp ini ",,-,-,-,Tidak,Testimoni alumni : karena pertama kalau Dibimbing sudah tahu skema pendidikannya dan sudah pernah ikut bootcamp digital marketing batch 9 dan dia lebih nyaman dengan mentornya yang sering sharing dan konsultasi jika ada kendala dan beberapa kali tek-tok an dengan mentor Dibimbing dan itu okeee bgt dan untuk pribadi karena memang kebutuhannya ada untuk saat ini dan program ini sesuai kebutuhannya di bidang english for professional jadi sudah merasa nyaman dan aman ikut bootcamp di Dibimbing,-
HR,15/Agu/2024,Agu 2024,Human Resource,CAJC,15,Ags,2024,2,24,Tangerang,Tangerang,Jabodetabek,Banten,Indonesia,Universitas Darussalam Gontor,Universitas Darussalam,High,Ilmu Al-Quran dan Tafsir,Ilmu Al-Quran dan Tafsir,-,Guru di SMA Muhammadiyah 3 Jakarta selama 3 tahun,Siswa SMA/SMK,Middle,Pengajar,-,Bernyanyi,"Kenapa lebih memilih job connector karena  dia ingin output yang jelas karena biaya yang dikeluarkan tidak sedikit dan waktu yang digunakan untuk mengikuti bootcamp waktu istirahat di weekend jadi dia ingin mendapatkan rute yang jelas dan dia membaca kurikulum Dibimbing dimana untuk timelinenya sangat jelas dan kemarin dihubungi admission terkait internship diperpanjang dia sangat tertarik jadi dia merasa dengan mengambil job connector ini bisa mendapatkan penyaluran kerja setelah graduete, sehingga job connector ini lebih meyakinkan dan menjanjikan baginya","Untuk HR yang dia tahu berlaku untuk semua posisi yang berrhubungan langsung dengan banyak manusia dan melalui tahapan yang berkaitan dengan anggota di perusahaan sendiri dan kenapa dia tertarik karena merasa dia punya itu di dirinya yang suka bersosialisasi dengan semua orang dan ingin belajar di posisi tsb dan selama ini menjadi pengajar sudah terlaksana dengan berinteraksi dengan murid dan orang tua siswa tetapi dia ingin melihat dengan kaca yang lebih besar di kaca HR dengan posisi yang memang nantinya menjadi rezekinya yang bisa bertemu banyak orang yang baik, sehingga untuk tujuan utamanya selain untuk menambah skill baru untuk menunjang career kedepannya (switch career)",Refferal,Refferal,Testimoni (karena memang sebelumnya belum ada pengalaman atau chanel lain untuk belajar jadi dia ingin belajar di Dibimbing karena dia punya temen yang mengikuti bootcamp ini jadi testimoni temen ini lebih meyakinkan dia),Testimoni (karena memang sebelumnya belum ada pengalaman atau chanel lain untuk belajar jadi dia ingin belajar di Dibimbing karena dia punya temen yang mengikuti bootcamp ini jadi testimoni temen ini lebih meyakinkan dia),,Tertarik,-,-,Tidak,Refferal (teman mengajarnya an Ahmad Rizky Habib mengikuti bootcamp UI UX di Dibimbing),-
DS,15/Agu/2024,Agu 2024,Data Science,JCJC+,15,Ags,2024,28,30,Jakarta Timur,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,D3 (STIE Kusuma Negara),Sekolah Tinggi Ilmu Ekonomi (STIE),Middle,Akuntansi,Akuntansi,-,Bekerja di PT Lentera Duasatu Propertindo sebagai finance selama 4 tahun,Pekerja,Middle,Karyawan Swasta,-,Travelling,Kenapa mengambil program reguler karena pas ngobrol dengan konsultannya sebenernya lebih menjanjikan yang + tetapi ada internship yang mana dia ada kendala untuk mengikutinya karena masih terikat dengan perusahaan sekarang jadi dia cari aman ikut yang reguler aja,"Buatnya tertarik di data science karena lumayan penasaran untuk belajar di bidang data karena sekarang taunya manual aja pakai excel atau microsoft tools jadi itu dia penasaran dan orangnya suka mempelajari hal-hal baru seperti data dan beberapa temennya ada yang di bidang data kaya seru aja dan ingin switch career dari finance ke data science karena merasa finance sekarang bakalan kurang dan lebih ke digital karena dia belum ada bassic ke data jadi mengikutii bootcamp ini, sehingga untuk tujuan utamanya selain untuk menambah skill baru untuk menunjang career",Google,Google Ads,Harga affordable dan sesuai kebutuhannya (mungkin awalnya sudah baca dari websitenya Dibimbing dan lihat program dan benefit yang didapat terus yaudah karena menurutnya sudah cocok dan dicompere dengan platform lain mulai dari harga affordable di Dibimbing dan konsultasinya sejak maret jadi sudah lama jadi memutuskan ambil Dibimbing aja),Harga affordable dan sesuai kebutuhannya (mungkin awalnya sudah baca dari websitenya Dibimbing dan lihat program dan benefit yang didapat terus yaudah karena menurutnya sudah cocok dan dicompere dengan platform lain mulai dari harga affordable di Dibimbing dan konsultasinya sejak maret jadi sudah lama jadi memutuskan ambil Dibimbing aja),,Tertarik,,-,Tidak,Google search sendiri (lagi nyari tempat kursus dan awalnya tahu Revou lalu masih nyari-nyari di google dan menemukan Dibimbing),-
DS,15/Agu/2024,Agu 2024,Data Science,JCJC+,15,Ags,2024,28,20,Tegal, Tegal, Tegal,Jawa Tengah,Indonesia,Universitas Pancasakti Tegal,Universitas Pancasakti Tegal,Middle,Management,Management,-,Mahasiswa semester 3,Mahasiswa,Low,Mahasiswa,-,Bermusik,Untuk permasalahan kenapa megambil yang reguler dari biaya dan dari penjelasan konsultan sebelumnya sama aja dengan yang + cuma bedanya ada internship dan garansi dan untuk saat ini sudah sesuai kebutuhannya,"Untuk data science dibilang passion juga ngga tapi memang suka analisis mulai dari menggabungkan statistik pemrograman yang menurutnya menantang dan dia percaya dengan belajar di bidang ini kemampuan menganalisis data dan menghasilkan insigh yang berharga untuk menjadi capaian bagianya dan  menurutnya seru aja belajar data science, sehingga tujuan utamanya untuk menambah skill baru",Instagram,Instagram,Harga affordable (pertama pertimbangannya dari budged karena platform lain mahal banget dan melihat Dibimbing masih affordable dan dilihat dari silabus dan kurikulumnya masih okee jadi langsung putusin daftar di Dibimbing),Harga affordable (pertama pertimbangannya dari budged karena platform lain mahal banget dan melihat Dibimbing masih affordable dan dilihat dari silabus dan kurikulumnya masih okee jadi langsung putusin daftar di Dibimbing),,Tertarik,,-,Tidak,Instagram ads (sebelumnya pernah riset untuk bootcamp mana aja yang bisa dipercaya lalu dari riset yang dilakukan muncul ads Dibimbing selanjutnya lihat content creator tik tok yang merekomendasikan Dibimbing jadi semakin yakin),-
DS,15/Agu/2024,Agu 2024,Data Science,JCJC+,15,Ags,2024,30+,27,Jepang,Jepang,Jepang,Jepang,Jepang,S1 Institut Teknologi Bandug) S2 (Universitas Indonesia),Institut Teknologi Bandung (ITB),High,Teknik Geodesi dan Geomatika,Teknik Geodesi,Management Proyek,Istri rumah tangga,Ibu Rumah Tangga,Low,IRT,Pernah bekerja di kontraktor konstruksi jalan tol selama 2 tahun,Memasak,"Kenapa memilih job connector + karena merasa ada internship juga terus nanti full banyak + nya juga kaya kelas tambahan dan persiapan career, sehingga merasa akan terarah kalau ikut yang + karena dia ngga ada bassic jadi lebih menjanjikan yang + aja","Setelah lulus kuliah kalau pengen bekerja yang sejalur di sipil dan sekarang sudah menikah dan suami bakal lebih lama stay di Jepang dan kalau dia ingin menyesuaikan yang dimau akan sulit karena keterbatasan bahasa Jepang dan daripada dia tidak melakukan kegiatan dan di Indonesia sibuk dan aktif  pengen tahu banyak hal dan pas di Jepang full ngga ada kegiatan jadi ngerasa cepat berubah terus sekarang banyak pekerjaan dari rumah/remote awalnya pengen jadi virtual assistence tapi kaya gaada bassic dan akan bingung dan kepikiran ngelihat data science bisa dipersiapkan melalui bootcamp ini dan pengen punya career di Jepang yang fleksible, sehingga tujuan utamanya selain untuk menambah skill baru untuk menunjang career ",Refferal,Refferal,"Job connector, internship dan testimoni (karena ada penyaluran kerja yang bergaransi dan internship yang dapat membantu dia belajar dari 0 dan melihat testimoni bagus-bagus jadi okee memilih Dibimbing)","Job connector, internship dan testimoni (karena ada penyaluran kerja yang bergaransi dan internship yang dapat membantu dia belajar dari 0 dan melihat testimoni bagus-bagus jadi okee memilih Dibimbing)",,Tertarik,,-,Tidak,Refferal (ada influencer dari Tokyo yang merekomendasikan Dibimbing dan kebetulan pas itu panik karena putus sekolah bahasanya karena harus pindah ke kota lain jadi dia cari-cari dan menemukan refferal tsb),-
BE,15/Agu/2024,Agu 2024,Back End Golang,JCJC+,15,Ags,2024,1,23,Malang, Malang, Malang,Jawa Timur,Indonesia,Universitas Brawijaya,Universitas Brawijaya (UB),High,Teknologi Informasi,Teknologi Informasi,-,Job seeker,Job seeker,Low,Job Seeker,Pernah magang di Venturo sebagai programmer selama hampir 2 bulan,Olahraga,Kenapa memilih reguler karena dari segi budged  dan yang reguler kurang lebih benefitnya sama bedanya di internship dan sisanya kurang lebih sama jadi kaya yaudah gitu memilih yang reguler,"Sebenernya tidak terlalu ribet dan sejak kuliah sudah tertarik di bidang pemrograman web dan dulu yang dipelajari PHP, java dan sebagainya dan tertarik di bidang back end karena ada OCD jadi ngga bisa melihat hal yang ngga rapi, sehingga untuk tujuan utamanya selain untuk mengembangkan skill sebelumnya untuk menunjang career",Google,Google Ads,Waktu startnya paling dekat dan programnya (simple yang terdekat mulainya di Dibimbing dan platform lain kebanyakan full stack dan yang fokus di back end hanya Dibimbing),Waktu startnya paling dekat dan programnya (simple yang terdekat mulainya di Dibimbing dan platform lain kebanyakan full stack dan yang fokus di back end hanya Dibimbing),,Tertarik,-,-,Tidak,Google search sendiri (dulu waktu skripsi pengen mau daftar tapi yang terbuka cuma front end dan dia kurang nyaman ngoding front end lebih suka di back end dan setelah akhir-akhir ini lihat sudah ada back end dan tahunya riset sendiri di google,-
DS,16/Agu/2024,Agu 2024,Data Science,JCJC+,16,Ags,2024,29+,26,Tangerang,Tangerang,Jabodetabek,Banten,Indonesia,"D3 Politeknik Negeri Bandung, S1 Universitas Nurtonio Bandung",Politeknik Negeri Bandung (POLBAN),Middle,Teknik Mesin,Teknik Mesin,-,Bekerja sebagai Project Manager di Perusahaan di bidang manufaktur,Pekerja,High,Karyawan Swasta,-,Olahraga & membaca buku,Ikut jobcon + bertujuan untuk switch career sehingga ada harapannya setelah lulus bootcamp bisa dapat pekerjaan di bidang DS dengan garansi yang ditawarkan,"Diliat dari kondisi sekarang, data science peluangnya lebih tinggi untuk building karir dan banyak dipakai. Sehingga ada keinginan untuk switch career ke bidang DS dibandingkan karir yang sekarang. Kebanyakan juga orang orang merekomendasikan DS untuk karir ke depannya",Instagram Ads,Meta Ads,"Banyak testimoni dari orang orang yang lulus dari dibimbing, benefit yang didapatkan juga di rasa worth it untuk fasilitas yang didapatkan","Banyak testimoni dari orang orang yang lulus dari dibimbing, benefit yang didapatkan juga di rasa worth it untuk fasilitas yang didapatkan",,Tertarik,,-,Tidak,Instagram Ads (Muncul konten alumni yang switch career ke data science yang kebetulan dari jurusan yang sama jadi mulai stalking dan cari tau dibimbing),
DS,16/Agu/2024,Agu 2024,Data Science,JCJC+,16,Ags,2024,28+,24,Sidoarjo, Sidoarjo, Sidoarjo,Jawa Timur,Indonesia,Universitas Kristen Petra,Universitas Kristen Petra,High,Teknik Sipil,Teknik Sipil,-,Bekerja sebagai konsultant structure di PT Seismotec selama 2 tahun,Pekerja,Middle,Karyawan Swasta,-,Main game,"Kenapa mengambil program job connector + karena ada internshipnya dan dia masih belum pernah terjun di data science jadi harus mencoba internship agar lebih mendapatkan pengalaman dan alasan lain karena di job connector + mendapat penyaluran kerja yang bergaransi, sehingga lebih memilih job connector +","Menurutnya data itu sangat besar dan luas cakupannya jadi menurutnya potensi di data science ini masih ada jadi ingin mencoba hal baru, sehingga untuk tujuan utamanya selain untuk menambah skill baru untuk menunjang career kedepannya (switch career)",Instagram,Instagram,"Harga affordable dan internship (menurutnya dari segi biaya kompetitif kemudian ada internshipnya juga sedangkan bootcamp-bootcamp lain tidak menyediakan internship, sehingga lebih memilih Dibimbing)","Harga affordable dan internship (menurutnya dari segi biaya kompetitif kemudian ada internshipnya juga sedangkan bootcamp-bootcamp lain tidak menyediakan internship, sehingga lebih memilih Dibimbing)",,Tertarik,,-,Tidak,Instagram ads (awalnya mencari platform penyedia bootcamp data science lalu tiba-tiba muncul ads Dibimbing lalu dilihat-lihat dan tertarik),-
BI,16/Agu/2024,Agu 2024,Business Intelligence,CAJC,16,Ags,2024,13,41,Jakarta Barat,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Kalbis Institut,Kalbis Institute,Middle,Marketing,Marketing,-,Bekerja Banker di May Bank sebagai coorporate sales,Pekerja,High,Karyawan Swasta,-,Komputer & Internet,Milih JC karena ada keinginnan untuk switch career di bidang BI yang beda jauh dengan pekerjaan sekarang. Jadi harapannya dengan ikut JC bisa dibantu buat penyaluran kerjanya dan jug ada keinginan untuk secepatnya pindah kerja yang sekarang,Ingin switch career secepatnya karena tuntutan pekerjaan yang sekarang yang semakin besar dan pengen bisa kerja yang remote agar bisa lebih flexible dan juga bisa sambil mengurus anak di rumah. Pengen punya kesempatan juga untuk bisa bekerja dengan perusahaan luar,Referral,Refferal,"Udah research bootcamp di beberapa platform, untuk dibimbing yang paling affordable harganya. Belum ada temen temen yang rekomendasiin platform selain dibimbing. Ada garansi terkait penyaluran kerjanya juga","Udah research bootcamp di beberapa platform, untuk dibimbing yang paling affordable harganya. Belum ada temen temen yang rekomendasiin platform selain dibimbing. Ada garansi terkait penyaluran kerjanya juga",,Tertarik,-,-,Tidak,Referral (rekomendasi alumni atas nama Jane di bootcamp digital marketing),
DS,16/Agu/2024,Agu 2024,Data Science,JCJC+,16,Ags,2024,28,30,Saudi Arabia,Saudi Arabia,Saudi Arabia,Arab Saudi,Arab Saudi,"S1 (Institut Teknologi Bandug) , S2 (Ghent University Belgia), S3 (King Abdullah University of Science & Technology)",Institut Teknologi Bandung (ITB),High,Micro Biology,Micro Biology,Bioteknologi,Kuliah S3 Bioteknologi tahun kelima,Mahasiswa,Low,Mahasiswa,-,Nonton Anime,Karena untuk job connector tidak ada penyalurannya di arab saudi dan ada batasan usia juga untuk dibantu penyalurannya,Ingin upgrade skill di bidang data science. Dan emang mau fokus ke data scince yang juga bisa berhubungan dengan biologi,Referral,Refferal,Harga yang lebih affordable dibanding bootcamp lain dan juga dapat referral dar Melna (Influencer),Harga yang lebih affordable dibanding bootcamp lain dan juga dapat referral dar Melna (Influencer),,Tertarik,,-,Iya (Data Series 11.0 yang materi AI ML),Referral (Rekomendasi dari kontennya Melna Monica yang mention soal dibimbing) ,
BI,16/Agu/2024,Agu 2024,Business Intelligence,CAJC,16,Ags,2024,13,39,Bekasi,Bekasi,Jabodetabek,Jawa Barat,Indonesia,S1 (Institut Teknologi Sepuluh November) S2 (SBM ITB),Institut Teknologi Sepuluh Nopember (ITS),High,Teknik Lingkungan,Teknik Lingkungan,MBA,Bekerja di Pertamina sebagai analyst planning risk management & system selama 14 tahun dan sedang berkuliah S2 baru masuk,Pekerja,High,Karyawan Swasta,-,Membaca dan bermain komputer,Kenapa lebih memilih yang career accelerator karena sesuai dengan tujuannya untuk menunjang pekerjaan yang sekarang dan tidak sedang mencari pekerjaan jadi lebih sesuai kebutuhannya yang career accelerator,"Ingin memiliki kemampuan di bidang business intelligence dan masih berhubungan dengan pekerjaannya yang ditugas hariannya banyak mengolah data untuk mengolah insigh management, sehingga untuk tujuan utamanya untuk menunjang pekerjaan sekarang",Instagram,Instagram,Sistem pembelajarannya (banyak platform lain yang menyediakan BI tetapi tertarik Dibimbing karena sifatnya bootcamp supaya lebih intens dan cepat memahami dari pada platform lain yang sifatnya menonton video learning),Sistem pembelajarannya (banyak platform lain yang menyediakan BI tetapi tertarik Dibimbing karena sifatnya bootcamp supaya lebih intens dan cepat memahami dari pada platform lain yang sifatnya menonton video learning),,-,-,-,Tidak,Instagram search sendiri (kebetulan scrol-scrol dari social media dan cari sendiri dan banyak sebenernya platform lain yang menyediakan tetapi lebih suka dan tertarik dengan Dibimbing),-
ML,16/Agu/2024,Agu 2024,AI Machine Learning,CAJC,16,Ags,2024,5,21,Surabaya, Surabaya, Surabaya,Jawa Timur,Indonesia,Universitas Airlangga,Universitas Airlangga (UNAIR),High,Teknik Robotika dan Kecerdasan Buatan,Teknik Robotika dan Kecerdasan Buatan,-,Mahasiswa semester 7,Mahasiswa,Low,Mahasiswa,-,Travelling,Lebih memilih job connector tertarik karena akan disalurkan kerja dan menurutnya akan mempermudah dia setelah lulus kuliah dan bootcamp disalurkan kerja dan berharap Dibimbing bisa bantu,"Selama kuliah ada masalah dengan dirinya sendiri terus karena sudah semester akhir harus fokus di satu hal dan berpikir harus fokus ke apa dan dia merasa kaya gampang masuk di area machine learning dan di jurusannya ada 2 yaitu kecerdasan buatan atau robotika kalau robotika merasa kurang apalagi ngga jago fisika walaupun ngga paham coding lebih baik coding daripada robotika apalagi ini mau lulus jadi mau cari-cari dan pengen berkarier di bidang ini, sehingga tujuan utamanya selain untuk mengembangkan skill sebelumnya untuk menunjang career di machine learnning",Instagram,Instagram,Job connector dan persiapan career (kenapa memilih Dibimbing karena mengincar persiapan kariernya dan disalurkan kerja setelah lulus bootcamp),Job connector dan persiapan career (kenapa memilih Dibimbing karena mengincar persiapan kariernya dan disalurkan kerja setelah lulus bootcamp),,Tertarik,-,-,Ya,Instagram ads (awalnya muncul di ads instagram terkait DSF lalu ikut DSF machine learning lalu sekarang ikut bootcampnya) dan Pernah mengikuti Digital Skill Fair terkait Machine Learning tahun 2024 (bulannya lupa),-
DM,16/Agu/2024,Agu 2024,Digital Marketing,JCJC+,16,Ags,2024,26,24,Bekasi,Bekasi,Jabodetabek,Jawa Barat,Indonesia,UPN Veteran Jakarta,UPN Veteran Jakarta,Middle,,,-,Bekerja full time sebagai digital marketing di Beauty Industri (PT Berani Cantik) jalan 7 bulan,Pekerja,Middle,Karyawan Swasta,"Pernah internship di fashion retail kacamata selama 4 bulan
",Suka bikin konten,"Kenapa memilih reguler dikarenakan pertama dibayarin kantor jadi dia ngga berani ambil yang + dan yang ditangkap yang + untuk yang nyari kerja sedangkan dia ingin loyal ke perusahan yang sekarang, sehingga lebih memilih yang reguler","Kalau dari dia pribadi karena bassicnya kebanyakan di content creator dia merasa content creator harus memproduce konten dan dia gamau kerja memproduce content lagi dia pengen yang lebih dibalik layar dan lebih luas dan goalnya pengen hybrid dan remote kerja dan di perusahaan luar negeri jadi karena dia sudah terlanjur nyemplung di dunia beauty jadi semua perusahaan yang dimasuki di ranah bauty semua dan menurutnya pekerjaan yang possible menjadi digital maerketing, sehingga untuk tujuan utamanya selain untuk mengembangkan skill sebelumnya untuk menunjang career dan pekerjaan sekarang",Instagram,Instagram,"Harga affordable (awalnya tahu Revou tetapi budgednya tinggi dan ketemu Dibimbing yang harganya masih affordable di dia, sehingga lebih memilih Dibimbing)","Harga affordable (awalnya tahu Revou tetapi budgednya tinggi dan ketemu Dibimbing yang harganya masih affordable di dia, sehingga lebih memilih Dibimbing)",,-,Tidak,Tidak,Tidak,Instagram search sendiri (memang dia cari-cari sendiri di instagram dan tidak ada ads karena kebetulan waktu itu dia difasilitasi perusahan untuk mengikuti course di bidang digital marketing),-
DM,16/Agu/2024,Agu 2024,Digital Marketing,JCJC+,16,Ags,2024,26,23,Medan, Medan, Medan,Sumatra Utara,Indonesia,Universitas Sumatera Utara,Universitas Sumatera Utara ,High,,,-,Monitoring bisnis propoerti keluarga,Usaha,Middle,Pengusaha,-,Editing,Memilih job+ karena ingin switch career dan harapannya bisa dibantu untuk penyaluran kerja setelah lulus bootcamp untuk mendapatkan pekerjaan,"Karena di sastra arab dirasa untuk jenjang karirnya ke depan tidak luas, makanya ingin switch career di digmar. apalagi di keseharian suka editing untuk konten sosmed. harapannya digmar bisa jadi pekerjaan di bidang yang dinikmati. di lihat kedepannya digmar prospek kerjanya juga luas. selain itu ada usaha properti jadi bisa di salurkan jug ilmunya",Instagram,Instagram,"Sebelumnya research di beberapa bootcamp lain, terus didibimbimbing ada magang setelah lulus bootcamp, setiap pembelajarannya juga ada studi kasus secara langsung, cara membuat portfolio, sedangkan di tempat lain hanya memberikan materi saja lewat video atau pembelajarannya hanya 1 bulan saja yang dirasa kurang untuk belajar. lihat background alumni juga yang lulus dari bootcamp","Sebelumnya research di beberapa bootcamp lain, terus didibimbimbing ada magang setelah lulus bootcamp, setiap pembelajarannya juga ada studi kasus secara langsung, cara membuat portfolio, sedangkan di tempat lain hanya memberikan materi saja lewat video atau pembelajarannya hanya 1 bulan saja yang dirasa kurang untuk belajar. lihat background alumni juga yang lulus dari bootcamp",,Tertarik,Tidak,Tidak,Tidak,Instagram (search sendiri nyari bootcamp terus ketemu salah satunya dibimibing),
DS,18/Agu/2024,Agu 2024,Data Science,JCJC+,18,Ags,2024,28,22,Jakarta Utara,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Binus University,Binus University,High,Enterpreneurship,Public Relation,-,Magang di StartUP Fintech bagian IT Project Management,Pekerja,Middle,Internship,-,Berenang,Pilih reguler karena mau sambil kerja dan dirasa untuk fasilitas internship belum terlalu dibutuhkan,"Karena S1 ambil entrepreneurship masih secara basic dan mendasar. Jadi ga ada skill khususnya, terus di magang ambil di bidang IT. Dari situ ada ketertarikan di bidang IT jadi pengen ada skill menjurusnya dan data science ini yang paling cocok. Karena masih ada keterkaitan dengan jurusan di kuliah. Selain itu ada ketertarikan untuk belajar spesialist bidang AI",Instagram Ads,Meta Ads,Karena harganya yang cukup bersahabat dan silabusnya yang cukup bagus juga. Jadwalnya juga masuk sabtu minggu dan bisa online ,Karena harganya yang cukup bersahabat dan silabusnya yang cukup bagus juga. Jadwalnya juga masuk sabtu minggu dan bisa online ,,Tertarik,,-,Tidak ,Instagram Ads (Muncul ads di instagram dari situ mulai cari tahu tentang dibimbing),
DS,18/Agu/2024,Agu 2024,Data Science,JCJC+,18,Ags,2024,28+,27,Depok, Depok,Jabodetabek,Jawa Barat,Indonesia,Indrapasta PGRI,Universitas Indraprasta PGRI,Middle,Teknik Informatika,Teknik Informatika,-,Bekerja di staff IT di PT Bangun Logistik Indo,Pekerja,Middle,Karyawan Swasta,-,Olahraga,"Pilih plus karena ada fasilitas, dan ada materi yang lebih mendalam dengan mentor ","Ingin menambah ilmu dan wawasan, switch career di bidang DS, harapannya bisa bekerja di salah satu perusahan besar di bidang IT seorang data scientist ",Instagram Ads,Meta Ads,"Karena jadwalnya yang lebih flexible dibanding yang lain bisa di hari sabtu minggu, dibimbing juga udh punya pengalaman lebih dari 3 tahun, alumninya juga udh banyak yang mendapatkan pekerjaan di perusahaan besar, kurikulum nya juga cocok dan terstruktur","Karena jadwalnya yang lebih flexible dibanding yang lain bisa di hari sabtu minggu, dibimbing juga udh punya pengalaman lebih dari 3 tahun, alumninya juga udh banyak yang mendapatkan pekerjaan di perusahaan besar, kurikulum nya juga cocok dan terstruktur",,Tertarik,,-,Iya (Data Series materi Data Engineering) ,Instagram Ads (Muncul ads di instagram dari situ mulai cari tahu tentang dibimbing),
DS,18/Agu/2024,Agu 2024,Data Science,JCJC+,18,Ags,2024,28+,23,US,US,US,Amerika Serikat,Amerika Serikat,Institut Pariwisata Bali International,Institut Pariwisata Bali International,High,D3 Hospitality Management,Teknologi Informasi,-,Bekerja di Hotel US ,Pekerja,Middle,Pelayanan,-,Traveling,Plih plus karena ada kelebihan 1 on 1 mentoring jadi harapannya kalau ga ngerti bisa langsung 1 on 1 mentor biar bener2 paham sama materinya,Udah pengen dari lama kalau belajar di bidang data science namun baru bisa terwujudkan di tahun ini karena sebelumnya masih kendala di aset dan uang. Ada keinginann untuk switch career,Referral,Refferal,"Karena mentor dan lebih terpercaya, ada kerjasama dengan banyak company","Karena mentor dan lebih terpercaya, ada kerjasama dengan banyak company",,Tertarik,,-,Tidak,Refferal (rekomendasi dari teman yang tau soal dibimbing),
EP,18/Agu/2024,Agu 2024,English,CAJC,18,Ags,2024,1,23,US,US,US,Amerika Serikat,Amerika Serikat,Institut Pariwisata Bali International,Institut Pariwisata Bali International,High,D3 Hospitality Management,Teknologi Informasi,-,Bekerja di Hotel US ,Pekerja,Middle,Pelayanan,-,Traveling,,Ingin improve karena dari segi accent yang masih kurang tapi coversation sebenernya udh lancarr. Bahasa inggris juga penting jadi pengen nambah skill komunikasinya,Referral,Refferal,Karena profil dibimbing banyak kerjasama dengan perusahaann perusahaan besar dan dirasa sudah terpercaya. Ada juga garansi nya dari job connector,Pernah mengikuti les bahasa inggris selama 7-8 bulan di tahun 2020,,-,-,-,Tidak,Refferal (rekomendasi dari teman yang tau soal dibimbing),
EP,18/Agu/2024,Agu 2024,English,CAJC,18,Ags,2024,1,24,Jakarta Barat,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,UIN Raden Intan Lampung,Universitas Indonesia (UI),Middle,Akuntansi Syariah,Akuntansi,-,Bekerja di perusahaan distributor full time di bagian accounting,Pekerja,Middle,Karyawan Swasta,-,Mencoba hal baru,,Karena ingin coba untuk perusahaan di multi nasional yang butuh public speaking yang bagus dalam bahasa inggris. Untuk listening udah cukup bagus namun dalam hal speaking masih kurang. Selain itu harapannya apabila menghadapi lingkungan kerja yang full bahasa inggris bisa mengikuti ,Instagram Ads,Meta Ads,Karena pertimbanganya ada beberapa temen yang follow dibimbing dan dirasa sudah trusted. Lihat di review google juga bagus orang2 yg milih dibimbing,Tidak pernah mengikuti course/pelatihan di bidang english dan masih akan belajar melalui bootcamp ini,,-,-,-,Tidak,Instagram ads (karena dia sering search terkait platform penyedia course bahasa inggris jadi muncul ads Dibimbing lalu dia follow dan baca-baca dan tertarik lalu register),
